Latitude,Longitude,Depth_km,Tectonic_Plate_Region,Seismic_Activity_Level,Foreshock_Count,Aftershock_Count,Energy_Released_Joules,Fault_Type,Magnitude
-78.29071326264969,-12.98430479219897,5.930334375275678,South American,Moderate,1,8,1383997911863521.0,Reverse,4.943017946527813
80.79939670559997,169.92191866735334,343.26727613972787,South American,Low,2,1,2009585954106891.2,Strike-slip,1.1074662076930684
83.81376595342067,39.069818170727956,11.888909645522114,North America,Moderate,3,3,538525911808223.75,Strike-slip,6.252984021951823
55.51152266096301,-54.177706048745236,312.0993151513145,Pacific,Moderate,2,4,2005123529321851.5,Normal,4.381882327303977
-35.16952154879328,-138.92551744034398,264.9154701975252,African,Low,3,4,1038066884763480.0,Strike-slip,4.199955100571179
-72.4190194788509,-125.55114165542355,110.52975563433134,African,Moderate,1,3,145728658024064.62,Reverse,5.868062567766831
33.161944772188235,-98.88590521755536,75.39797507137185,Indian,Low,1,11,39481755923729.49,Strike-slip,5.956232539518926
-10.772551126871761,-89.65200191749273,60.36049897845281,Pacific,Low,2,7,279759424587096.78,Normal,0.6352996618578968
-68.03311772793981,126.22178082280959,140.74714973444424,North America,Low,1,5,475377480678164.1,Strike-slip,1.6270331108288598
-0.8681561799713648,22.040203781708982,23.919084993594844,North America,Moderate,2,4,1817495001867798.8,Reverse,2.6286639876024855
-83.81006619926069,8.420728094771931,44.13589211159862,South American,Low,1,5,1351871898972777.2,Reverse,6.601796000113811
73.67767237418076,-138.68320612708172,67.61859787733786,Indian,Moderate,2,6,3109477348414047.5,Strike-slip,5.690670143266467
-43.41960331199695,129.65028960579662,37.075677534343065,Eurasian,Moderate,1,4,819106851149958.9,Strike-slip,7.318662191462783
29.254011183716756,80.21314915505411,39.04032179991727,North America,Moderate,4,8,1377301524589407.8,Normal,7.165470249894713
-33.89200630390603,-155.6393897159994,28.063177362616152,Indian,Moderate,2,6,321974576736199.06,Normal,8.178645822855357
3.612243812005943,74.82063500271673,58.1451406671516,Pacific,High,1,7,1138116067714119.0,Normal,3.891333751451725
8.407850281790331,15.67375824335258,133.06702679218645,South American,Moderate,3,5,1224689938279260.5,Strike-slip,3.6055747956497246
-56.72619800540513,-150.57887553115984,15.753909577167013,African,Moderate,2,5,1886610921832896.2,Reverse,7.979138627481169
84.52523299762055,-15.011769049683664,190.7278344604676,Pacific,Low,1,5,768740740614853.4,Reverse,2.6384138048046606
49.52390820500062,-5.509336633183096,81.7770975964768,North America,High,3,1,1046983721137135.8,Strike-slip,4.650551363062463
79.10980948155404,-120.32116554122072,121.32052193871095,North America,Low,3,5,226961844357017.56,Reverse,2.2489308682002473
71.0689230769768,160.45133292010166,56.86522076981834,Pacific,Moderate,0,5,1334685658959117.0,Reverse,8.724566679252924
17.62199618599533,125.99113373303828,105.83533312685921,North America,Moderate,1,4,1822703676616319.5,Strike-slip,4.170227117869628
75.93736230416104,60.84804143847899,1.143314095233845,Indian,Low,0,8,900756382559654.4,Reverse,2.4123820840774552
-74.0713496306545,-13.573598039781416,119.40887178919759,North America,Low,0,4,122930028901002.39,Strike-slip,6.7281205151202075
-54.72308476455387,-31.76440502957695,2.8676654904047405,South American,Moderate,3,5,375213375578773.06,Normal,2.7018021038943076
-81.85908799610314,54.35044817434351,154.45414148395426,Indian,Moderate,1,8,645337784827232.8,Reverse,8.991532428532011
-31.440540462612418,16.355472986485978,337.6567565372002,Eurasian,Moderate,3,4,1130605841946642.0,Strike-slip,3.808553133284703
-20.038087855893238,-157.58168188252117,24.37649210820589,North America,High,0,9,386143637527586.5,Reverse,6.481766408916534
-41.15717428069873,4.500953557319406,16.52879554531037,North America,Low,2,8,1834402191136376.0,Reverse,3.6072043804167206
59.17275164734727,110.30530220382224,101.4802033467011,South American,Low,4,5,464880441397410.94,Normal,7.765210246941264
-25.784401195153933,-14.67364406509509,20.420774972301,South American,Moderate,0,5,43780896868836.24,Strike-slip,8.572304669204982
-39.43178825627146,-161.29563208046338,140.4658502059818,African,Moderate,0,6,1579852007015360.2,Normal,7.591265234733076
7.685294968484726,103.0601517782519,7.596676484178779,Pacific,Moderate,1,9,1033451625350928.5,Reverse,8.13649116854768
-64.63363950454273,-107.50903843104922,9.42365493416506,Pacific,Low,2,5,1619268548840957.5,Reverse,1.4169274514387238
54.395456535727135,-86.89649944030604,270.933314307625,Pacific,Moderate,2,6,429076393441487.06,Reverse,8.816582093297598
-76.58088413764125,-120.70571276437349,78.4254689816386,South American,Moderate,2,7,17787455115932.355,Strike-slip,6.1187065598775225
87.63964858809311,-61.12257664626088,131.3606373712763,Pacific,Moderate,1,8,76614258822520.17,Normal,8.322957789495797
49.004058473398345,92.4305420479086,27.443469639896403,Pacific,Moderate,3,7,118559215094153.55,Strike-slip,6.659930877668739
-54.23117732384897,6.978909421417455,78.99541530871703,Eurasian,Moderate,2,3,1635512817999330.2,Reverse,2.3166290168933936
-89.00601891775156,-106.24274130574348,63.1398551423979,Pacific,Moderate,3,4,358726696430012.5,Normal,5.985995914811088
56.783057121870144,136.0188281347347,64.69380442954505,North America,Low,1,2,6165108387213532.0,Reverse,1.318516157508269
37.234321892571074,136.64946778255052,80.31657904481385,African,Low,0,5,1420423786330092.2,Normal,6.761507271963428
41.22129024737771,133.40823301656246,59.95581064285273,South American,Moderate,3,5,919182291130669.5,Strike-slip,4.181010269725155
48.82866240347025,-94.03336390264586,39.233271244494404,Indian,Moderate,0,3,4111658303547353.5,Strike-slip,1.8655985579018806
-76.67196268786374,-17.553836094844286,22.599998160534557,African,Moderate,1,3,380249493258322.44,Strike-slip,9.313068342815727
-25.47616886203093,174.59627621071502,102.44687520361005,Eurasian,Moderate,1,6,181061034531463.06,Strike-slip,8.60975981789613
-69.14356928547664,97.92449147159653,17.957481086934703,South American,Moderate,0,7,1336639693222714.2,Strike-slip,8.541893420629284
65.35861665760683,-170.21972835879848,82.51645519740134,South American,High,2,4,325845629846142.4,Normal,7.599382757170276
22.193662828960427,-156.52634714622286,18.599174973655753,North America,Low,1,7,3245140954926985.0,Normal,6.727830126291659
-30.438355526523146,-12.98470434756021,68.71970658351339,African,Low,2,5,4428641395763688.5,Reverse,6.395715322630206
-78.55949694851574,147.31927411016164,96.22726360494454,African,Low,3,2,2609169970048712.5,Normal,1.4548445393346974
-34.0231820911808,13.932647262977127,17.276969976007624,Pacific,Moderate,5,5,2896099864591584.0,Reverse,8.605096117866088
-31.46700203518553,-0.7874971076555255,4.327056111315571,North America,Moderate,2,3,956214217196494.6,Strike-slip,8.430155566741494
41.329112100851546,-142.029468015613,9.82673572836461,Pacific,Low,3,4,1178040796099285.2,Normal,7.2306736387236805
24.760344843938356,56.440837700745845,65.19776707025161,Pacific,Moderate,2,4,98987707176416.44,Normal,8.845834631676103
69.69829366373878,115.95713781608117,132.54053073597618,South American,Low,3,3,1439906804671695.2,Strike-slip,5.477751062581928
-5.0013134708491265,-43.04879729727756,3.222842697035679,African,Moderate,1,3,225726087036859.94,Strike-slip,4.528781012457998
-68.4730357311057,99.22026633311788,92.7379442467031,Pacific,Moderate,2,7,1834621416189560.0,Strike-slip,9.211526619496508
38.384061700139114,167.21159540429215,29.22607736525521,Eurasian,Moderate,0,2,3257923888812251.0,Reverse,4.677180690178904
46.94130875104153,-106.64407471403193,45.57702846436431,Eurasian,Low,1,1,238736528818456.16,Reverse,6.271919969604419
11.029895562509324,8.398667230106867,185.01694293290274,African,High,0,4,81243806109647.89,Normal,3.857559321725951
48.77409239182097,-76.6303350895528,28.239711414196126,Eurasian,Moderate,3,3,661435627766787.9,Strike-slip,6.226936034177551
-1.1167926544096645,105.42759085218216,43.82829594830728,South American,Low,1,5,1568053061699011.8,Normal,6.980890960631189
4.091909288758927,27.933611717216706,0.9643817174331091,North America,Low,2,4,1472463198353944.0,Strike-slip,6.121899727596953
-13.042616695461064,48.449670318109355,5.95846017863961,Indian,Moderate,1,5,1193423661564015.5,Strike-slip,5.13106647094578
-85.42455718606287,107.24909746172187,20.944255251923487,Pacific,High,0,4,1718672535178504.2,Strike-slip,3.2009971786270954
-70.57954314120519,-37.450629841516246,1.9773229321105632,Indian,High,2,7,192357774680633.4,Strike-slip,6.29461108522601
-84.34274657638784,149.43242462653558,69.85834074418952,North America,Moderate,2,4,1055373958551025.8,Strike-slip,8.675860057352265
24.553874027480475,11.890392208610393,38.90740874927003,North America,High,2,10,930590781695187.1,Reverse,0.5622133205270062
-33.4159234062612,-123.13626377927471,55.6076077013538,South American,Low,1,4,166564423555464.6,Normal,1.7053612468672132
1.542724409646496,70.52368254076887,13.436103142429772,Eurasian,Low,3,7,535164544586856.7,Strike-slip,1.5779584264987014
73.36196530669673,105.5740861577716,24.561626487226,Eurasian,High,4,3,1914128610347853.5,Reverse,8.808847726035687
-45.12739875320251,-65.96579625569039,76.30853014040984,North America,Moderate,2,4,3568497276423452.5,Reverse,6.464729200663532
-16.131073853586642,128.5845325195511,235.27658601296545,South American,Moderate,3,5,1094909684506794.2,Strike-slip,9.066092958231355
45.99920493774877,146.21157171567592,3.621246979243584,South American,Moderate,2,7,2550290865848665.5,Strike-slip,5.745319458911855
-48.81633021150796,-80.31438454398878,154.75423997670828,African,High,6,2,141620283192273.12,Reverse,4.655596074433284
-76.14361623081726,174.06773017747992,60.20716039815539,Pacific,Moderate,5,3,3691303415253366.0,Strike-slip,7.631086206329262
-37.84473847552176,-129.34384990244698,58.09500009103953,Eurasian,High,1,8,34080704806141.816,Reverse,1.948480407277021
-60.9801682942792,-107.27435937510361,48.55930843377871,North America,Moderate,1,2,749208187650988.2,Strike-slip,3.9320430468558927
77.34557742166317,-113.67905787431059,5.034356911434289,African,Low,3,10,343911500714815.8,Reverse,4.696468164808014
55.461668321595056,141.83629560283333,6.59227526053293,Indian,High,3,3,1681520051430849.8,Strike-slip,3.1861255506090638
24.012676171876222,55.54531883698627,64.30013444482272,Eurasian,Low,6,8,245317117991491.34,Reverse,3.841570511676306
66.86290623378918,-125.24245803998176,29.187821645653997,Pacific,High,2,4,11597023007276.014,Normal,1.2029466823197643
54.660973841840615,-21.48356938739437,174.45047310491847,South American,Moderate,1,10,535476063440815.44,Strike-slip,2.2818523050460215
-56.41738940051355,41.50728902512873,36.53094373416223,North America,Moderate,0,4,66255191283844.24,Strike-slip,3.519470482978355
70.660619728196,-149.95292940382203,10.82520862854856,Eurasian,Moderate,2,8,342620696584549.3,Reverse,7.6630138990982095
7.081603544817128,137.66989262664197,87.79960251423034,Indian,Low,3,4,1032116067888193.5,Strike-slip,2.1424761935857752
55.33922792953126,109.29727275895266,24.305723886898853,Pacific,Low,2,5,349136538700684.1,Normal,3.619763365858022
71.29643398622878,1.8744384875897708,52.18017603330598,Pacific,High,3,6,282088714247566.94,Normal,1.0842825937724165
-32.7593745050645,168.16558149330137,83.77423071198969,African,High,1,5,169005407247575.0,Reverse,5.513939103439454
-70.19065358501818,-29.606047460964106,161.3660789233006,Eurasian,Moderate,1,5,145224952676752.47,Reverse,6.00125799326835
-48.9716707424505,174.27971485313924,109.97957794507657,Indian,High,3,2,746247102087384.2,Strike-slip,8.289648171159502
-13.120598047273859,60.45119956930574,78.96887541323197,Pacific,High,0,6,1144154854271020.2,Reverse,7.872043986517676
57.24265786604877,48.481658371418916,79.68020442753884,North America,Moderate,1,5,602818854581586.6,Normal,3.0684015921549244
64.93150498614182,-120.25623769351739,204.21637070163973,Pacific,Low,3,5,131936207378271.75,Normal,1.7325832027087376
-88.74861650438568,137.49399298967182,24.550896476657666,Indian,High,2,3,1043432012029766.6,Strike-slip,1.9047486398936337
1.9345144639618326,-26.10371234857854,0.07788991222480054,South American,Moderate,1,5,814460712313575.6,Normal,9.220675487364002
-14.866019433219776,-121.59597391830744,22.217427002703182,South American,High,1,7,480095105768447.44,Reverse,6.559032326066216
-50.02059411526856,-175.46129280872674,17.203315314470295,African,High,6,4,400547534904571.94,Strike-slip,0.8831370902291538
-68.42423387993709,21.51204610981773,75.8954077041328,Eurasian,High,1,4,202303338905173.7,Strike-slip,1.7310132954058512
-29.22926914734697,9.863863964163471,70.30339939632468,Indian,Moderate,2,7,158174801056573.8,Strike-slip,4.872200585908602
79.72374670425344,78.96730405289708,63.00534485070447,African,Low,1,5,413656104618075.8,Reverse,2.370459238638078
-31.82347223626406,140.49289908640878,1.1463769922038363,Pacific,Moderate,1,5,42522527214488.11,Strike-slip,7.73293086500017
3.382311913805893,-151.41362952850938,91.33724642157692,Pacific,Moderate,2,3,573814080742967.2,Strike-slip,5.658954058124284
36.54341260113202,83.33873652253044,27.360745161013927,South American,Low,2,7,920233316870874.2,Normal,6.013689870103685
-24.54667157172709,-112.5317001248704,76.56543247417058,African,Moderate,1,9,2841369192734975.5,Normal,4.6654299324429065
84.92077488977293,128.94373913657904,56.92640329496315,South American,Moderate,2,8,983040077157398.0,Strike-slip,2.8045649788368396
83.24051308958002,114.86286499019621,29.3763255801634,North America,High,1,7,978368408324321.6,Reverse,5.804632518822919
-44.67918675143445,14.685751794795976,10.117521916266268,South American,Low,3,5,469067756277258.44,Reverse,6.952730415446586
-0.495268939370618,75.68740750439216,6.942490751623047,North America,Moderate,3,7,143082177985321.1,Reverse,3.8385326986715023
-35.84190423298146,-66.83395925385058,124.66498358734212,Pacific,Low,3,3,592284541058626.9,Reverse,5.044492675560518
-38.72871101205583,-10.379556384186742,175.41271271413302,African,Low,3,7,912986992903382.2,Normal,8.0571557342483
-83.3603494761841,115.78928317576981,73.44517089806608,North America,Low,4,13,1287476147688104.0,Reverse,1.8381358564021426
19.721580116381432,-14.664529017642991,7.642844798849687,African,Moderate,3,6,1749198804708537.8,Reverse,5.407019773466903
0.4822241811950647,-51.192624482840955,35.994702748081,African,Low,0,5,295617598373325.4,Strike-slip,3.635713956463053
-80.73382477500192,-2.083518989892042,91.37884905873432,North America,Moderate,0,3,276043497818289.97,Reverse,6.825152823955074
-39.84363643740994,118.16973087739859,105.93197302033984,Eurasian,Low,2,8,833098826067997.1,Reverse,0.6692921884615519
73.48785947399767,-59.32510294648581,8.80677873451534,South American,High,3,2,834745729674405.6,Reverse,6.5342596982286985
-46.878859679944966,-117.44582647113224,0.0021503522051066646,North America,High,1,7,245833784530357.88,Reverse,1.4260796061456866
-63.91892302357984,76.32504731908108,87.16895360968329,Pacific,High,2,3,885459221304678.8,Normal,1.082909776942922
-1.898503150038664,117.35215657490943,30.86879045235172,African,High,2,6,424462699993147.25,Strike-slip,7.021609708627516
87.41708173990813,-143.770507731528,20.557257256667388,Indian,High,3,2,1019750052833582.4,Normal,6.263079376136662
-46.43005112792993,-93.6453194078599,0.9086954999384771,North America,High,0,6,343962820266953.56,Strike-slip,8.55442337803393
30.98439853305814,-128.8900836860422,54.40259199761746,South American,Moderate,1,1,897203537084811.2,Strike-slip,5.176894602205806
47.09153075916916,-54.74109183042002,133.33747925758954,African,Low,1,7,1462355185716051.0,Strike-slip,5.270219829744504
-47.22524208136806,-17.873647594051448,221.29474988416067,Eurasian,Low,1,3,3919993470457626.5,Strike-slip,6.863160520188955
41.07894275013473,89.57748130679033,58.38862722664962,Pacific,Low,0,6,2419883881224411.0,Normal,3.4105781871792606
-23.799036110534416,54.413130557402695,50.5747437945593,Eurasian,Moderate,2,0,700249839483757.5,Strike-slip,0.832212098797393
23.815049506844304,43.53428429223521,6.222498736365109,Indian,Moderate,0,5,670112689830960.0,Reverse,2.570412431471521
24.035347936961045,-53.14501922052442,55.720415992735454,North America,High,0,5,575719774240176.6,Reverse,2.642120707067299
6.439443133456521,122.92111911051359,33.460144053567014,African,High,2,5,28142921002924.598,Strike-slip,3.520929652503745
-73.7478413902065,-10.336619736660765,65.40029667774152,North America,Moderate,4,5,181467318742707.75,Reverse,8.991164597364167
60.35444920606284,172.47777768545564,34.45473809828252,South American,Moderate,1,5,61013103588767.29,Reverse,7.743585187968331
-32.25958830508755,48.291169786465275,19.238135466437633,North America,High,3,2,1191896302292743.0,Strike-slip,8.923606206846728
-56.426668128026236,-134.54469303677902,6.984737627344477,Pacific,Low,1,6,533130283908341.06,Strike-slip,9.487486311017005
-82.6604745201425,63.423922347156235,26.475217216879095,Indian,Moderate,2,5,65893975954642.57,Strike-slip,4.4040110367834
16.36072977388352,-62.96255444458836,7.114763976838914,Eurasian,Low,2,7,1173039793517931.2,Normal,2.5436598501227414
31.961585131610832,67.07779080699507,13.627171215552321,Indian,Moderate,0,4,1034049632025394.2,Strike-slip,5.540037451297242
-87.01419079298589,-154.92918666153395,305.83031349891235,African,Low,3,9,1272832937089123.0,Strike-slip,8.430209725533068
2.1767504938705713,-117.04268261665462,41.10212788556342,North America,High,2,4,915876112244677.2,Normal,4.691586749131204
-49.230760464371166,128.06541320608306,53.13091121814705,African,Moderate,7,2,176187878256167.75,Reverse,5.048593723150281
26.131102273700975,-98.21535947153464,144.79152772877435,Eurasian,Low,1,5,63357669542309.26,Normal,1.7099519533504404
-58.61404277910154,121.33480508745839,379.33752706413765,African,Low,2,5,1699039752106138.8,Reverse,4.28409943310985
34.36879285844387,-79.46060815641225,61.17891624460998,South American,Moderate,1,6,243102664535152.34,Normal,3.982953288277203
-20.38763766590327,51.43748762113475,117.1685775554027,Indian,High,1,5,782042309913894.0,Strike-slip,3.6651965257890464
78.61139797261222,69.89420646353915,27.7145625523409,Eurasian,Moderate,1,2,664009854956691.4,Normal,8.4856880293178
-65.2462300537212,4.555711132219045,25.544011438411538,Eurasian,Moderate,6,8,2538972716588122.5,Strike-slip,1.0337128989109965
-28.60805681095347,-70.08815638917673,36.07394062681445,Eurasian,Moderate,0,4,803944137710599.1,Reverse,9.249324646076122
-69.57476617669397,-103.4480245064054,78.14025801788286,Pacific,Moderate,1,6,867540771815637.2,Strike-slip,0.5742214274582242
76.44485129014129,-168.05183235752656,80.24148120495052,Indian,Moderate,0,6,384934854002196.4,Normal,9.010346125548281
67.9210836085766,-70.57929555333943,26.50802290201545,African,Moderate,6,5,3186764500770062.0,Normal,5.432427525546892
-43.57050701127199,55.138604591261895,10.00709209856611,Eurasian,Moderate,1,6,947713846394916.4,Reverse,6.8220071996010425
28.79712828615223,157.78973464145378,70.05247933845882,Indian,Moderate,2,4,4992827034221.792,Strike-slip,2.184195647256109
57.09999603621884,133.63361361469873,9.613773405963954,Eurasian,Moderate,4,9,812116012398477.5,Reverse,6.3879038511494635
9.936146087903225,95.78331955270892,60.474240933945474,South American,High,0,4,452345084429305.6,Strike-slip,8.437619016749593
5.337104104081163,103.84104357118753,82.75984412807877,South American,High,2,6,32639111955904.11,Strike-slip,1.7553212585028644
-46.4665876379187,59.3945652513583,84.42092440914274,South American,Moderate,2,7,564841543077660.8,Reverse,1.6437345104596095
-73.24150179493815,-86.29673127623892,98.01961053913088,North America,Moderate,1,4,1485303924077898.2,Reverse,3.235801182345255
71.49883643159882,146.59021105409875,144.3723321528914,Eurasian,Low,4,1,700754962396638.4,Strike-slip,1.9555330322785833
72.07525028939949,61.46363228610025,48.51456174968593,North America,High,2,4,1020149836713490.0,Reverse,1.4958126328401238
23.95826230918823,21.758627152958383,91.71796692268775,Indian,Moderate,2,4,1020933354501959.9,Strike-slip,6.604871323867625
-28.97463761123388,-140.0437910831468,67.5786566226774,North America,Low,1,6,1111756200100318.2,Reverse,2.424439525212417
-27.14227656972104,-19.060004229686854,14.460697229889277,Indian,Moderate,1,4,490363401254125.6,Reverse,6.5031340946178755
40.6720221966431,-14.271022367306529,1.8217770431001616,Indian,High,6,1,462043140668669.1,Reverse,8.257363044042346
71.47984679146387,131.2428994281612,23.43820662928365,Indian,Low,3,3,4595072539064.132,Normal,6.368223122717005
69.67555636772113,16.793359267603847,40.967538846992326,African,Moderate,2,12,167498909662772.4,Reverse,1.5743036292386083
50.37759825437229,-43.055802370652515,67.19978617620183,North America,Moderate,4,1,3012069253891738.5,Normal,5.662198166427006
25.565696307771802,171.64811826383738,132.77942241594386,African,Low,0,3,1847801171829611.8,Strike-slip,4.042658157903958
-74.85480630089121,-140.14058640252637,15.292317201528098,Eurasian,Low,0,5,321733204127652.0,Strike-slip,3.590338430502453
-60.90683146296952,-27.882565807699933,9.391194499394013,North America,High,2,4,512814181179328.3,Reverse,3.3667832176684893
71.73975393487427,-164.8711169382941,231.69256494894844,Eurasian,High,2,6,2812100298810017.5,Normal,8.86489001437681
19.157230738726184,86.36548347609494,8.003737147542406,Eurasian,Low,3,5,288274887536695.94,Strike-slip,7.18256711009955
-88.34453070900666,150.50755879169424,45.57202168482373,Indian,High,2,3,760426455283392.4,Normal,1.704639106222655
-71.73512228411423,-79.1865613618238,61.658524537675895,North America,Moderate,4,8,22327191063807.305,Normal,4.784049317592174
29.430318439450048,129.0030036476835,54.566479354542814,Eurasian,Moderate,6,5,966886470538717.0,Strike-slip,3.3640076772852763
-89.08891490768063,-74.80143703371681,6.29719236274137,South American,Moderate,0,7,2660311992535463.0,Normal,9.301444812913624
-61.054550744850246,147.87725819180946,4.1102276310873656,Eurasian,High,2,3,2160594200401384.5,Normal,9.302260756578525
8.772082085985502,91.42628529484222,7.803029433591806,South American,Moderate,0,10,697093397898585.6,Strike-slip,3.3758102689973146
34.54113558468478,109.76643966291789,61.662570766571825,North America,Low,1,9,1048799710990586.0,Reverse,3.6690180453090924
27.3530267104681,-173.51763998383637,55.02133617140335,African,High,0,7,843500864140781.2,Reverse,5.89472786422891
-49.63152429709924,166.61172854664932,18.63643424202907,North America,Moderate,1,4,69322473107643.484,Normal,4.813763128947501
38.19225984255647,81.60155714531635,71.08411409108716,African,Low,4,2,172834882177179.22,Reverse,2.4179078494259727
-47.295164250575986,-70.28960566099201,120.06214568925978,African,Moderate,2,5,3319174583133337.0,Strike-slip,6.443709502897502
-31.428054331331808,118.58207934918488,2.9727668912503944,North America,Moderate,5,6,295672170936921.75,Strike-slip,3.5071577948771457
44.36845292124434,-78.65236857062521,48.25898311413315,Eurasian,High,2,7,485237828388226.4,Strike-slip,6.383448484989509
26.93392182849864,134.19138224380606,81.82726824306945,Pacific,Moderate,3,6,711197731865263.1,Normal,3.9531337009501977
62.86021388895202,-139.47105945170267,20.35385819470911,Eurasian,Low,1,8,3869544594403869.5,Strike-slip,6.801889044706445
28.37032061406181,73.32695188588647,25.748682150674185,Eurasian,Moderate,5,3,1171162034076461.8,Normal,6.510195238006855
12.29554860038489,14.651451592167717,66.56861918544593,Indian,Moderate,2,4,993167720414788.0,Normal,5.079314803289007
-73.13854179094335,-145.2475907296413,159.75038021795675,Indian,Low,0,3,743178056219463.5,Strike-slip,6.842659916397477
-23.811155449301964,-92.91822182681797,116.2233448627158,Eurasian,Moderate,4,7,1206223383629224.2,Strike-slip,4.648691086088137
-42.26357381728942,-175.53454694016668,61.248696737888125,South American,High,1,6,1090691413376420.2,Normal,1.545244696851106
-46.08186419176496,-11.243532432777897,91.71083839490242,African,Low,2,7,2331405358309251.5,Strike-slip,2.138956280036192
85.14189985544022,-71.54450612639987,31.76955212810394,Indian,Moderate,5,5,780526564233087.4,Reverse,2.7139382074905156
-19.24240955998313,35.408694347193176,71.70358111662513,Eurasian,Moderate,2,4,547321206326417.1,Normal,1.0690603540312693
70.5683799318804,-72.99438922489782,43.93896893023257,Pacific,Low,2,5,1645904966321586.0,Normal,6.902430985676031
23.60495267950732,-72.02911985748551,14.744953338087944,South American,Moderate,5,5,1608355172242964.5,Strike-slip,3.8065120414845652
53.06603463749673,87.54955154337722,84.68487316487659,North America,Moderate,0,3,186132534969745.0,Strike-slip,1.3417096669429758
0.47467675893457795,-162.66857904779275,56.90844215058237,Eurasian,High,4,4,270224673914106.6,Normal,7.879623086530223
13.842699232744636,145.04219826911543,31.08949483403759,Eurasian,Low,3,6,3185399011457269.0,Normal,6.652888560172174
-1.346815112604503,126.81499478082532,169.60561201979985,African,Moderate,5,10,587184015619974.6,Normal,4.570018134149308
-54.85626219635199,60.40968596150634,1.4809440337784885,South American,Low,0,5,733262542577076.9,Strike-slip,2.726828015834608
